,PlayerIDSID,PlayerFirstName,PlayerLastName,PlayerNumber,P,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,GP,Poss,Time,Points,FGA,FGM,PPP,WorsePPP,BetterPPP,PossG,PPG,FGAG,FGMG,FGmG,FGm,FG,aFG,FT,TO,SF,PlusOne,Score
57,201166,Aaron,Brooks,0,G,1610612741,Chicago Bulls,CHI,Chicago,30,134,51.73749923706055,114,114,48,0.8507459759712219,154,71,4.466666666666667,3.8,3.8,1.6,2.1999999999999997,66,42.10526315789474,46.05263157894737,4.477611940298507,11.940298507462687,4.477611940298507,1.492537313432836,38.80597014925373
58,204456,T.J.,McConnell,12,G,1610612755,Philadelphia 76ers,PHI,Philadelphia,43,164,48.23529815673828,113,113,52,0.6890239715576172,72,153,3.813953488372093,2.627906976744186,2.627906976744186,1.2093023255813953,1.4186046511627906,61,46.017699115044245,48.230088495575224,2.4390243902439024,29.878048780487806,1.829268292682927,1.2195121951219512,32.926829268292686
59,203085,Austin,Rivers,25,G,1610612746,Los Angeles Clippers,LAC,LAClippers,38,126,37.611900329589844,112,103,48,0.8888890147209167,177,47,3.3157894736842106,2.9473684210526314,2.710526315789474,1.263157894736842,1.4473684210526319,55,46.601941747572816,48.05825242718446,7.936507936507937,12.698412698412698,7.142857142857143,2.380952380952381,42.857142857142854
60,202692,Alec,Burks,10,G,1610612762,Utah Jazz,UTA,Utah,28,137,31.639699935913086,112,106,45,0.8175179958343506,142,83,4.892857142857143,4.0,3.7857142857142856,1.6071428571428572,2.1785714285714284,61,42.45283018867924,45.283018867924525,9.489051094890511,13.86861313868613,8.75912408759124,2.18978102189781,38.68613138686131
61,1626144,Emmanuel,Mudiay,0,G,1610612743,Denver Nuggets,DEN,Denver,28,222,44.667999267578125,112,144,42,0.5045049786567688,28,197,7.928571428571429,4.0,5.142857142857143,1.5,3.6428571428571432,102,29.166666666666668,31.25,7.657657657657658,28.37837837837838,6.756756756756757,0.9009009009009009,25.225225225225227
62,203079,Dion,Waiters,3,G,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,43,155,30.87649917602539,111,125,47,0.7161290049552917,87,138,3.604651162790698,2.5813953488372094,2.9069767441860463,1.0930232558139534,1.813953488372093,78,37.6,39.6,6.451612903225806,13.548387096774194,5.806451612903226,0.6451612903225806,34.83870967741935
63,203095,Evan,Fournier,10,G,1610612753,Orlando Magic,ORL,Orlando,40,130,23.55069923400879,105,99,38,0.8076919913291931,137,87,3.25,2.625,2.475,0.95,1.5250000000000001,61,38.38383838383838,42.42424242424242,10.0,15.384615384615385,9.23076923076923,1.5384615384615385,37.69230769230769
64,203087,Jeremy,Lamb,3,G-F,1610612766,Charlotte Hornets,CHA,Charlotte,37,100,24.50979995727539,103,78,37,1.0299999713897705,212,13,2.7027027027027026,2.7837837837837838,2.108108108108108,1.0,1.108108108108108,41,47.43589743589744,50.64102564102564,16.0,8.0,14.0,2.0,49.0
65,2590,Maurice ,Williams,52,G,1610612739,Cleveland Cavaliers,CLE,Cleveland,25,131,43.81269836425781,103,104,46,0.7862600088119507,127,98,5.24,4.12,4.16,1.84,2.3200000000000003,58,44.23076923076923,46.15384615384615,3.053435114503817,17.557251908396946,3.053435114503817,0.0,38.16793893129771
66,203499,Shane,Larkin,0,G,1610612751,Brooklyn Nets,BKN,Brooklyn,38,142,45.9547004699707,102,102,43,0.7183099985122681,88,137,3.736842105263158,2.6842105263157894,2.6842105263157894,1.131578947368421,1.5526315789473684,59,42.15686274509804,43.627450980392155,6.338028169014085,23.239436619718308,6.338028169014085,1.408450704225352,35.2112676056338
67,203901,Elfrid,Payton,4,G,1610612753,Orlando Magic,ORL,Orlando,36,157,31.150800704956055,101,125,45,0.6433119773864746,52,173,4.361111111111111,2.8055555555555554,3.4722222222222223,1.25,2.2222222222222223,80,36.0,36.0,8.9171974522293,14.64968152866242,7.006369426751593,3.1847133757961785,33.12101910828026
68,2207,Joe,Johnson,7,G,1610612751,Brooklyn Nets,BKN,Brooklyn,42,135,23.356399536132812,97,102,40,0.7185180187225342,89,136,3.2142857142857144,2.3095238095238093,2.4285714285714284,0.9523809523809523,1.476190476190476,62,39.21568627450981,40.68627450980392,7.407407407407407,18.51851851851852,4.444444444444445,1.4814814814814814,35.55555555555556
69,202397,Ish,Smith,1,G,1610612755,Philadelphia 76ers,PHI,Philadelphia,12,130,51.18109893798828,96,110,42,0.738461971282959,99,126,10.833333333333334,8.0,9.166666666666666,3.5,5.666666666666666,68,38.18181818181818,40.45454545454545,4.615384615384615,12.307692307692308,3.076923076923077,1.5384615384615385,35.38461538461539
70,202323,Evan,Turner,11,F-G,1610612738,Boston Celtics,BOS,Boston,42,139,28.838199615478516,92,104,42,0.661870002746582,60,165,3.3095238095238093,2.1904761904761907,2.4761904761904763,1.0,1.4761904761904763,62,40.38461538461539,40.38461538461539,3.597122302158273,23.02158273381295,3.597122302158273,1.4388489208633093,32.37410071942446
71,200751,Randy,Foye,4,G,1610612743,Denver Nuggets,DEN,Denver,42,117,35.454498291015625,90,93,34,0.7692310214042664,115,110,2.7857142857142856,2.142857142857143,2.2142857142857144,0.8095238095238095,1.4047619047619049,59,36.55913978494624,41.935483870967744,6.837606837606837,14.52991452991453,6.837606837606837,0.8547008547008547,34.18803418803419
72,201587,Nicolas,Batum,5,F-G,1610612766,Charlotte Hornets,CHA,Charlotte,36,125,20.49180030822754,90,78,32,0.7200000286102295,90,135,3.4722222222222223,2.5,2.1666666666666665,0.8888888888888888,1.2777777777777777,46,41.02564102564103,46.794871794871796,8.0,31.2,4.8,1.6,32.0
73,201155,Rodney ,Stuckey,2,G,1610612754,Indiana Pacers,IND,Indiana,33,128,34.042598724365234,90,99,35,0.703125,81,144,3.878787878787879,2.727272727272727,3.0,1.0606060606060606,1.9393939393939394,64,35.35353535353536,36.36363636363637,10.15625,14.0625,9.375,1.5625,35.15625
74,202681,Kyrie,Irving,2,G,1610612739,Cleveland Cavaliers,CLE,Cleveland,13,102,43.776798248291016,88,87,39,0.8627449870109558,162,63,7.846153846153846,6.769230769230769,6.6923076923076925,3.0,3.6923076923076925,48,44.827586206896555,49.42528735632184,2.9411764705882355,13.72549019607843,2.9411764705882355,1.9607843137254901,39.21568627450981
75,202397,Ish,Smith,4,G,1610612740,New Orleans Pelicans,NOP,NewOrleans,26,132,45.67470169067383,88,106,37,0.6666669845581055,62,162,5.076923076923077,3.3846153846153846,4.076923076923077,1.4230769230769231,2.6538461538461533,69,34.905660377358494,34.905660377358494,8.333333333333334,12.878787878787879,4.545454545454546,1.5151515151515151,34.84848484848485
76,101181,Jose,Calderon,3,G,1610612752,New York Knicks,NYK,NewYork,43,104,32.601898193359375,87,89,39,0.8365380167961121,149,76,2.4186046511627906,2.0232558139534884,2.0697674418604652,0.9069767441860465,1.162790697674419,50,43.82022471910113,46.06741573033708,3.8461538461538463,11.538461538461538,2.8846153846153846,0.9615384615384616,40.38461538461539
77,203114,Khris,Middleton,22,F,1610612749,Milwaukee Bucks,MIL,Milwaukee,44,120,16.021400451660156,87,95,36,0.7250000238418579,91,134,2.727272727272727,1.9772727272727273,2.159090909090909,0.8181818181818182,1.3409090909090908,59,37.89473684210526,40.0,5.0,16.666666666666668,4.166666666666667,0.8333333333333334,34.166666666666664
